"file","title","status","referenceCenter","referenceIdiom","harmonyCount","signalScore","iiVCells","appliedDominants","primaryDominants","tritoneSubstitutions","diminishedChords","resolvedDiminished","modalBorrowingColors","minorPlagalCadences","tonicMajorSixths","slashChordDensity","examples","notes"
"imported-real-book/c-024-Comin' home baby.musicxml","Comin' home baby","ok","E major","major-functional","21","12.4","2","5","1","2","0","0","1","0","0","0.1","G#7/D# / B7 / Bb7 / Ab7 / F7/C / Ab7 / G7 / F7(b9)","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional"
"imported-real-book/c-025-Con Alma.musicxml","Con Alma","ok","G major","blues","57","22.8","3","8","13","2","0","0","0","0","0","0","D7(#5) / D7(#5) / Daug7 / E7 / A7 / D7sus4 / D7 / D7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: blues"
"imported-real-book/c-026-Confessin' that i love you.musicxml","Confessin' that i love you","ok","F major","minor-functional","48","28","10","9","4","2","0","0","1","0","0","0","A7 / Bb7 / D7 / G7 / C7(b9) / A7 / F7 / B7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; leitura harmonica inferida: minor-functional"
"imported-real-book/c-027-Confirmation.musicxml","Confirmation","ok","D major","major-functional","26","8.3","4","1","4","0","4","0","0","0","0","0","F° / A7 / A7 / F° / A7 / D7 / E7 / A7","cadencias ii-V detectadas; dominantes aplicadas recorrentes"
"imported-real-book/c-028-Coquette.musicxml","Coquette","ok","F major","minor-functional","40","9","2","3","3","1","7","0","0","0","0","0.1","Abdim7 / C7 / Bb7 / Am/G / D/F# / Fdim7 / D7/A / Abdim","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/c-029-Corcovado.musicxml","Corcovado","ok","C minor","minor-functional","42","9.2","3","4","2","0","0","0","0","0","0","0","F7 / F7 / G7 / G7 / F7 / F7 / Bb6 / G7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/c-030-Corner pocket.musicxml","Corner pocket","ok","Ab major","blues","35","10.7","0","7","5","0","2","0","0","0","0","0","Eb7 / Eb7 / Ab7 / Ddim / Eb7 / F7 / Bb7 / Eb7","dominantes aplicadas recorrentes; leitura harmonica inferida: blues"
"imported-real-book/c-031-Cottontail.musicxml","Cottontail","ok","G major","blues","39","19.76","6","2","6","1","0","0","2","0","8","0.03","G6 / D7 / G6 / D7 / G7 / F7 / D7(#5) / G6","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; cor de tonica 6/6-9; leitura harmonica inferida: blues"
"imported-real-book/c-032-Count every star.musicxml","Count every star","ok","Ab major","blues","6","2.4","0","1","0","1","0","0","0","0","0","0","Ab7 / Db7 / Ab7 / D7(#11) / Db7 / Ab7","dominantes aplicadas recorrentes; leitura harmonica inferida: blues"
"imported-real-book/c-033-Cousin Mary.musicxml","Cousin Mary","ok","Bb major","major-functional","32","16.9","7","3","5","0","2","0","2","0","0","0","F7 / Bb° / F7 / Db7 / F7 / D7 / G7 / C7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional"
"imported-real-book/c-034-Crazeology.musicxml","Crazeology","ok","Eb major","blues","51","16.9","2","5","4","4","0","0","0","0","3","0.1","Ab/C / Cm6 / Bb7 / G7 / C7(b9) / F9 / B9 / Bb7sus4","cadencias ii-V detectadas; dominantes aplicadas recorrentes; cor de tonica 6/6-9; leitura harmonica inferida: blues"
"imported-real-book/c-035-Cry me a river.musicxml","Cry me a river","ok","A minor","minor-functional","46","3.5","0","1","4","0","0","0","0","0","0","0","D7sus4 / E7(b9) / E7(#9) / E7(#9) / G7sus4","dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
